,device_id,repeat
105,iwbva-qf4wy-1xcv1-kingk-qacvp,1
106,1vmt0-e8dga-q3zuz-8shq7-u490i,1
107,4p0ue-1f2n5-hrvma-t9k4j-liho1,1
108,2qucp-eioir-c2a1t-bwdez-owcmt,1
109,ugrfc-v95te-yqbbx-trbu3-wkxc9,1
110,cb7wc-lu4sk-5x5lx-wiwqy-bcnu9,1
111,pgpj6-pug8i-7b367-5xcdx-dr4eg,1
112,c3chp-1um1l-ei6qn-jc06x-i9vvq,1
113,zpvw3-sin7f-44i6j-urxyt-4i727,1
114,9oj7v-3mr39-2chhv-e3555-1x2ug,1
115,m1zfe-mhs2v-mi6e5-39g47-alvow,1
116,4xarx-mpkw8-dno9r-mhja6-m9u1e,1
117,5njmh-bkkye-abeap-ylpnp-vqu5v,1
118,tf063-qzex2-ly5ic-bpmnc-swvtm,1
119,83d8p-wlff4-zuxm4-bxnt6-oz430,1
120,gim5u-da2f5-n0e9y-hgmbx-17qr8,1
121,pr1dh-cxwg6-k6oi2-h05ur-emx5q,1
122,mb72q-t2paf-hlldv-hh9w7-lhiqo,1
123,73c9j-6732k-n97wd-6phpn-3hqy5,1
124,czwxo-1ysoe-0uxlv-ome7c-6pxsk,1
125,f9lcq-czalk-wfrad-auclk-ucaog,1
126,v4md8-kplu1-hhr73-upn5r-q8r7u,1
127,sb3gp-cir4p-6d0eu-l09qo-ln7st,1
128,c6dlp-fwzog-oc9og-3xktn-xc1mn,1
129,5ebgc-q3p8k-gs9fb-cvr0f-lva30,1
130,xh3yk-oytvw-rl6df-9i0cb-afn4k,1
131,pwtyw-pil0w-4l1tq-z2htj-lsye6,1
132,bb9jq-7ymjz-ropyx-qewd4-83mrp,1
133,80b3h-y3sx4-2sy48-x91k0-uuraf,1
134,pmft9-mv8oo-1dj4j-l3709-hloc1,1
135,4821f-2z4gl-b8ek1-v666c-rbz9q,1
136,hnbgm-b99ge-lr5gc-zunnh-it4cg,1
137,tp05e-uzmj7-2stvz-domq7-cvwx0,1
138,0c4mm-we2sw-jirym-x6hji-loe7r,1
139,5uz34-gvone-hdh73-ycewz-1ecid,1
140,qqwcx-4ovoc-mcxuo-2t0xv-ksixa,1
141,o84b1-qv399-58szc-suzn0-y0611,1
142,d9j1g-zyihu-vo4gx-33jbe-ewbtj,1
143,v1gjx-9qvaa-6axgu-yjpj4-873m2,1
144,z7bch-z5sme-v10lz-3nfjo-yembi,1
145,qym85-z6wxh-7ir2y-ylfvd-c9mka,1
146,eakjx-2p3ne-xs1td-22vut-pukmw,1
147,upk92-akmvu-cc37f-hx0g5-8nsev,1
148,lj8ys-ryyjf-di2e1-hwa2g-4s6j8,1
149,5z6z6-omu5d-af2ot-szhy1-hlmhx,1
150,qbtar-yj4kp-qye4v-1rprh-sfoi6,1
151,j82cd-1w2s5-vggwg-15bbp-osevt,1
152,v9d4i-xqryi-341ls-d7btz-qvd7j,1
153,hqr82-z72mk-u6krj-c9eny-8h6d6,1
154,ythae-ap7e4-hnqa8-78oec-pyd81,1
155,zfthc-5b46c-p1qsd-legl9-iu754,1
156,srtc7-fob0e-p0809-mdjv8-3938z,1
157,r3joc-wi0dx-uyf4l-h5ytx-lee71,1
158,5vj2o-4116x-vpmh7-jqnd1-ubzvv,1
159,n040r-snv78-4kod5-2gg3y-k37l9,1
