,flight_number,flight_time,flight_num_date,dport,aport,dport_city,aport_city,dcity_code,acity_code
0,CA1345,2022/1/1 14:35,CA1345_2022-01-01,PEK,SYX,北京,三亚,BJS,SYX
66,HO5894,2022/1/6 14:00,HO5894_2022-01-06,WUX,ZHA,无锡,湛江,WUX,ZHA
201,CZ6587,2022/1/11 9:35,CZ6587_2022-01-11,SZX,NKG,深圳,南京,SZX,NKG
310,PN6317,2022/1/15 6:40,PN6317_2022-01-15,SYX,KHN,三亚,南昌,SYX,KHN
400,HO1263,2022/1/17 12:05,HO1263_2022-01-17,PVG,HRB,上海,哈尔滨,SHA,HRB
499,CA2623,2022/1/19 16:45,CA2623_2022-01-19,TFU,HUZ,成都,惠州,CTU,HUZ
600,DR5009,2022/1/22 10:05,DR5009_2022-01-22,CTU,DAT,成都,大同,CTU,DAT
701,ZH9987,2022/1/24 21:00,ZH9987_2022-01-24,CAN,HFE,广州,合肥,CAN,HFE
802,HO2036,2022/1/26 20:20,HO2036_2022-01-26,NBS,PVG,白山,上海,NBS,SHA
904,MU5671,2022/1/29 10:15,MU5671_2022-01-29,TAO,YNJ,青岛,延吉,TAO,YNJ
1005,CZ6745,2022/2/4 8:30,CZ6745_2022-02-04,CGQ,HAK,长春,海口,CGQ,HAK
